Data as of,Start week,End Week,State,Sex,Age group,COVID19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,18-29 years,,189,,0,0,
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,25-34 years,,231,,0,0,11
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,30-49 years,15,722,36,,,50
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,35-44 years,,337,18,,,26
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,45-54 years,22,620,41,12,,56
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,50-64 years,66,"1,654",128,40,14,168
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,55-64 years,48,"1,279",99,30,11,128
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,65-74 years,133,"2,164",160,64,,236
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,75-84 years,220,"2,957",271,105,,391
9/16/2020,2/1/2020,9/12/2020,Colorado,Female,85 years and over,394,"4,957",398,190,13,615
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Colorado,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,Under 1 year,0,40,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,1-4 years,0,,0,0,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,15-24 years,,108,0,0,0,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,18-29 years,,215,,,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,25-34 years,11,279,,,,16
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,30-49 years,58,710,21,,0,74
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,35-44 years,19,318,11,,0,27
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,45-54 years,76,636,30,14,,94
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,50-64 years,282,"1,835",128,67,,349
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,55-64 years,237,"1,432",105,55,,291
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,65-74 years,455,"2,051",206,116,11,553
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,75-84 years,576,"2,468",258,135,,706
9/16/2020,2/1/2020,9/12/2020,Connecticut,Male,85 years and over,734,"3,116",360,177,,926
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,Under 1 year,,27,0,0,0,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,15-24 years,,46,,0,0,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,18-29 years,,77,,0,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,25-34 years,,88,,,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,30-49 years,24,346,11,,,32
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,35-44 years,,166,,0,0,14
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,45-54 years,27,342,15,,,39
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,50-64 years,140,"1,068",67,32,,183
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,55-64 years,125,856,57,28,,159
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,65-74 years,295,"1,432",154,70,,382
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,75-84 years,577,"2,474",245,134,12,700
9/16/2020,2/1/2020,9/12/2020,Connecticut,Female,85 years and over,1255,"5,116",410,216,12,"1,461"
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,Under 1 year,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,30-49 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,35-44 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,50-64 years,0,,,0,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,55-64 years,0,,,0,,
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,65-74 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,75-84 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Connecticut,Unknown,85 years and over,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,Under 1 year,0,15,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,5-14 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,15-24 years,,41,,0,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,18-29 years,,66,,0,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,25-34 years,,97,,,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,30-49 years,10,259,,,0,12
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,35-44 years,,114,,,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,45-54 years,11,204,,,0,16
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,50-64 years,40,574,39,21,0,58
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,55-64 years,33,449,31,17,0,47
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,65-74 years,75,729,78,36,,118
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,75-84 years,72,784,53,27,,101
9/16/2020,2/1/2020,9/12/2020,Delaware,Male,85 years and over,63,720,48,26,,86
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,Under 1 year,0,20,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,5-14 years,0,,,0,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,15-24 years,,22,,,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,18-29 years,,28,,,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,25-34 years,,29,,,0,
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,30-49 years,,127,,,,13
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,35-44 years,,72,,,,
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,45-54 years,16,111,10,,0,20
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,50-64 years,36,389,34,17,,55
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,55-64 years,23,314,25,12,,38
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,65-74 years,43,557,47,17,,76
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,75-84 years,71,799,67,27,,112
9/16/2020,2/1/2020,9/12/2020,Delaware,Female,85 years and over,134,"1,217",90,37,,191
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Delaware,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,Under 1 year,,35,0,0,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,5-14 years,0,10,,0,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,15-24 years,0,68,,0,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,18-29 years,,109,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,25-34 years,,118,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,30-49 years,42,302,49,39,,54
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,35-44 years,22,147,24,20,,27
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,45-54 years,48,231,54,46,,57
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,50-64 years,115,658,136,105,,147
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,55-64 years,85,515,103,76,,113
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,65-74 years,127,611,160,124,,164
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,75-84 years,90,438,118,87,0,121
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Male,85 years and over,59,349,73,58,,75
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,Under 1 year,0,25,0,0,,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,1-4 years,0,10,,0,,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,5-14 years,0,,0,0,,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,15-24 years,,11,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,18-29 years,,30,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,25-34 years,,40,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,30-49 years,14,136,21,14,0,21
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,35-44 years,,63,,,0,
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,45-54 years,21,136,28,21,0,28
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,50-64 years,63,412,81,59,0,85
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,55-64 years,50,328,65,46,0,69
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,65-74 years,72,415,96,68,,101
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,75-84 years,64,390,92,62,0,94
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Female,85 years and over,88,606,114,86,0,116
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,District of Columbia,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Male,Under 1 year,0,396,,0,0,
9/16/2020,2/1/2020,9/12/2020,Florida,Male,1-4 years,0,81,,0,,
9/16/2020,2/1/2020,9/12/2020,Florida,Male,5-14 years,,134,,,,
9/16/2020,2/1/2020,9/12/2020,Florida,Male,15-24 years,18,"1,023",24,,,38
9/16/2020,2/1/2020,9/12/2020,Florida,Male,18-29 years,31,"1,845",46,15,,66
9/16/2020,2/1/2020,9/12/2020,Florida,Male,25-34 years,47,"2,111",63,22,,93
9/16/2020,2/1/2020,9/12/2020,Florida,Male,30-49 years,322,"5,861",328,173,22,498
9/16/2020,2/1/2020,9/12/2020,Florida,Male,35-44 years,143,"2,835",149,77,,221
9/16/2020,2/1/2020,9/12/2020,Florida,Male,45-54 years,375,"4,774",387,202,20,578
9/16/2020,2/1/2020,9/12/2020,Florida,Male,50-64 years,1166,"14,147","1,312",643,40,"1,873"
9/16/2020,2/1/2020,9/12/2020,Florida,Male,55-64 years,938,"11,242","1,064",523,31,"1,510"
9/16/2020,2/1/2020,9/12/2020,Florida,Male,65-74 years,1654,"16,941","2,003",926,40,"2,769"
9/16/2020,2/1/2020,9/12/2020,Florida,Male,75-84 years,2065,"20,341","2,468","1,116",39,"3,453"
9/16/2020,2/1/2020,9/12/2020,Florida,Male,85 years and over,1782,"19,131","2,103",923,21,"2,980"
9/16/2020,2/1/2020,9/12/2020,Florida,Female,Under 1 year,0,340,,0,,
9/16/2020,2/1/2020,9/12/2020,Florida,Female,1-4 years,0,75,,0,0,
9/16/2020,2/1/2020,9/12/2020,Florida,Female,5-14 years,,89,,0,,
9/16/2020,2/1/2020,9/12/2020,Florida,Female,15-24 years,10,358,,,,16
9/16/2020,2/1/2020,9/12/2020,Florida,Female,18-29 years,17,680,27,,,36
9/16/2020,2/1/2020,9/12/2020,Florida,Female,25-34 years,29,937,52,22,,63
9/16/2020,2/1/2020,9/12/2020,Florida,Female,30-49 years,172,"3,168",218,94,18,314
9/16/2020,2/1/2020,9/12/2020,Florida,Female,35-44 years,82,"1,523",99,40,,148
9/16/2020,2/1/2020,9/12/2020,Florida,Female,45-54 years,174,"2,775",219,88,13,317
9/16/2020,2/1/2020,9/12/2020,Florida,Female,50-64 years,581,"8,540",803,308,30,"1,104"
9/16/2020,2/1/2020,9/12/2020,Florida,Female,55-64 years,476,"6,857",670,258,24,911
9/16/2020,2/1/2020,9/12/2020,Florida,Female,65-74 years,1059,"11,668","1,288",577,39,"1,809"
9/16/2020,2/1/2020,9/12/2020,Florida,Female,75-84 years,1588,"17,071","1,775",829,37,"2,569"
9/16/2020,2/1/2020,9/12/2020,Florida,Female,85 years and over,2201,"27,144","2,226","1,002",31,"3,451"
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,30-49 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,35-44 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Florida,Unknown,85 years and over,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,Under 1 year,,184,,0,0,
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,1-4 years,,49,0,0,,
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,5-14 years,,80,,0,0,
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,15-24 years,,495,,,,13
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,18-29 years,15,865,17,,,29
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,25-34 years,32,911,22,,0,45
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,30-49 years,158,"2,595",136,71,,226
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,35-44 years,59,"1,212",60,27,,93
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,45-54 years,192,"2,236",170,95,,273
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,50-64 years,555,"6,539",542,258,14,853
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,55-64 years,439,"5,199",438,201,10,686
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,65-74 years,734,"7,229",721,363,11,"1,103"
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,75-84 years,760,"7,162",797,381,11,"1,186"
9/16/2020,2/1/2020,9/12/2020,Georgia,Male,85 years and over,487,"5,209",500,216,,779
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,Under 1 year,0,150,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,1-4 years,0,39,0,0,,
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,5-14 years,,49,,0,,
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,15-24 years,,162,,,0,
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,18-29 years,13,303,12,,0,20
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,25-34 years,27,399,21,,,41
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,30-49 years,132,"1,625",130,53,,218
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,35-44 years,60,748,62,24,,101
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,45-54 years,116,"1,603",137,55,,203
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,50-64 years,371,"4,452",405,169,14,621
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,55-64 years,308,"3,501",322,137,13,506
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,65-74 years,525,"5,468",484,243,13,779
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,75-84 years,668,"6,997",626,307,15,"1,002"
9/16/2020,2/1/2020,9/12/2020,Georgia,Female,85 years and over,778,"9,089",677,312,,"1,151"
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Georgia,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,Under 1 year,0,18,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,5-14 years,0,,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,15-24 years,0,41,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,18-29 years,0,66,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,25-34 years,0,79,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,30-49 years,0,298,11,0,0,11
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,35-44 years,0,138,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,45-54 years,,273,,,0,12
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,50-64 years,16,724,26,,,38
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,55-64 years,11,562,21,,,30
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,65-74 years,12,864,44,,,54
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,75-84 years,,880,58,,,67
9/16/2020,2/1/2020,9/12/2020,Hawaii,Male,85 years and over,17,"1,036",99,11,,109
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,Under 1 year,0,26,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,1-4 years,0,,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,5-14 years,0,,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,15-24 years,0,16,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,18-29 years,,26,,,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,25-34 years,,34,,,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,30-49 years,0,127,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,35-44 years,0,52,,0,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,45-54 years,,133,,,0,
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,50-64 years,,385,28,,,31
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,55-64 years,,305,25,,,28
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,65-74 years,,533,34,,,41
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,75-84 years,,664,30,0,0,36
9/16/2020,2/1/2020,9/12/2020,Hawaii,Female,85 years and over,16,"1,555",93,,,103
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,Under 1 year,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,1-4 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,5-14 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,15-24 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,18-29 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,25-34 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,30-49 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,35-44 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,45-54 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,50-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,55-64 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,65-74 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,75-84 years,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Hawaii,Unknown,85 years and over,0,0,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,Under 1 year,0,39,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,1-4 years,0,10,,0,0,
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,5-14 years,0,17,,0,0,
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,15-24 years,0,84,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,18-29 years,0,118,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,25-34 years,0,118,0,0,0,0
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,30-49 years,,361,,,,11
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,35-44 years,,170,,,,
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,45-54 years,,279,,,0,14
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,50-64 years,20,798,44,,,58
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,55-64 years,17,648,36,,,48
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,65-74 years,42,"1,085",65,17,,97
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,75-84 years,85,"1,305",93,29,,150
9/16/2020,2/1/2020,9/12/2020,Idaho,Male,85 years and over,75,"1,160",76,34,,118
