NAME,state,county,Estimate!!Total!!Two or more races!!Two races including Some other race,Estimate!!Total!!Some other race alone,Estimate!!Total!!Two or more races,"Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races",Estimate!!Total!!White alone,Estimate!!Total,Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone,Estimate!!Total!!Asian alone,Estimate!!Total!!American Indian and Alaska Native alone,Estimate!!Total!!Black or African American alone
"Ballard County, Kentucky",21,007,30.0,9.0,123.0,93.0,7549.0,8090.0,0.0,32.0,41.0,336.0
"Barren County, Kentucky",21,009,150.0,235.0,1160.0,1010.0,40451.0,43680.0,0.0,141.0,50.0,1643.0
"Green County, Kentucky",21,087,5.0,0.0,94.0,89.0,10467.0,11023.0,0.0,9.0,310.0,143.0
"Hancock County, Kentucky",21,091,20.0,0.0,113.0,93.0,8408.0,8719.0,0.0,64.0,12.0,122.0
"Martin County, Kentucky",21,159,9.0,9.0,101.0,92.0,11142.0,11919.0,10.0,0.0,21.0,636.0
"Hardin County, Kentucky",21,093,140.0,1361.0,5322.0,5182.0,86022.0,108095.0,380.0,2281.0,326.0,12403.0
"McLean County, Kentucky",21,149,0.0,11.0,131.0,131.0,9104.0,9331.0,0.0,20.0,18.0,47.0
"Ohio County, Kentucky",21,183,0.0,118.0,231.0,231.0,23422.0,24071.0,0.0,67.0,8.0,225.0
"Powell County, Kentucky",21,197,0.0,17.0,222.0,222.0,11923.0,12321.0,6.0,71.0,53.0,29.0
"Webster County, Kentucky",21,233,72.0,294.0,338.0,266.0,11960.0,13155.0,8.0,4.0,9.0,542.0
"Caldwell County, Kentucky",21,033,0.0,0.0,144.0,144.0,11743.0,12727.0,0.0,0.0,0.0,840.0
"Casey County, Kentucky",21,045,29.0,25.0,211.0,182.0,15369.0,15796.0,0.0,35.0,44.0,112.0
"Christian County, Kentucky",21,047,218.0,813.0,2687.0,2469.0,51543.0,72263.0,314.0,1123.0,467.0,15316.0
"Grayson County, Kentucky",21,085,82.0,312.0,350.0,268.0,25076.0,26178.0,0.0,61.0,106.0,273.0
"Henry County, Kentucky",21,103,7.0,199.0,230.0,223.0,14758.0,15814.0,18.0,115.0,38.0,456.0
"Hopkins County, Kentucky",21,107,95.0,203.0,1016.0,921.0,41081.0,45664.0,4.0,290.0,163.0,2907.0
"Jackson County, Kentucky",21,109,0.0,0.0,42.0,42.0,13316.0,13373.0,0.0,0.0,2.0,13.0
"Laurel County, Kentucky",21,125,201.0,44.0,861.0,660.0,58374.0,60180.0,0.0,113.0,228.0,560.0
"Marshall County, Kentucky",21,157,88.0,24.0,333.0,245.0,30450.0,31166.0,0.0,104.0,58.0,197.0
"Meade County, Kentucky",21,163,43.0,190.0,755.0,712.0,25978.0,28326.0,0.0,217.0,216.0,970.0
"Montgomery County, Kentucky",21,173,1.0,142.0,370.0,369.0,26310.0,27759.0,21.0,15.0,85.0,816.0
"Nicholas County, Kentucky",21,181,8.0,48.0,88.0,80.0,6854.0,7100.0,0.0,0.0,20.0,90.0
"Oldham County, Kentucky",21,185,51.0,559.0,1632.0,1581.0,59622.0,65374.0,17.0,975.0,136.0,2433.0
"Owen County, Kentucky",21,187,0.0,155.0,54.0,54.0,10316.0,10741.0,17.0,0.0,25.0,174.0
"Rockcastle County, Kentucky",21,203,21.0,4.0,108.0,87.0,16504.0,16827.0,0.0,0.0,186.0,25.0
"Scott County, Kentucky",21,209,191.0,1446.0,1654.0,1463.0,47156.0,53517.0,0.0,559.0,133.0,2569.0
"Warren County, Kentucky",21,227,524.0,2759.0,3546.0,3022.0,103136.0,126427.0,354.0,4820.0,394.0,11418.0
"Allen County, Kentucky",21,003,135.0,265.0,312.0,177.0,19821.0,20794.0,0.0,85.0,0.0,311.0
"Bourbon County, Kentucky",21,017,0.0,290.0,114.0,114.0,18216.0,20144.0,0.0,89.0,0.0,1435.0
"Boyd County, Kentucky",21,019,38.0,124.0,1103.0,1065.0,45435.0,48091.0,15.0,133.0,47.0,1234.0
"Bullitt County, Kentucky",21,029,26.0,420.0,1393.0,1367.0,76302.0,79466.0,80.0,517.0,139.0,615.0
"Crittenden County, Kentucky",21,055,0.0,79.0,94.0,94.0,8772.0,9083.0,0.0,0.0,29.0,109.0
"Fayette County, Kentucky",21,067,1255.0,8555.0,11459.0,10204.0,240264.0,318734.0,168.0,11602.0,810.0,45876.0
"Fulton County, Kentucky",21,075,14.0,32.0,116.0,102.0,4483.0,6210.0,0.0,7.0,22.0,1550.0
"Johnson County, Kentucky",21,115,36.0,25.0,97.0,61.0,22236.0,22843.0,0.0,353.0,20.0,112.0
"Menifee County, Kentucky",21,165,0.0,0.0,24.0,24.0,6369.0,6405.0,0.0,8.0,0.0,4.0
"Clay County, Kentucky",21,051,63.0,160.0,356.0,293.0,19309.0,20621.0,30.0,0.0,70.0,696.0
"Morgan County, Kentucky",21,175,0.0,29.0,160.0,160.0,12445.0,13285.0,36.0,158.0,14.0,443.0
"Perry County, Kentucky",21,193,34.0,74.0,276.0,242.0,25840.0,26917.0,69.0,323.0,29.0,306.0
"Wolfe County, Kentucky",21,237,0.0,3.0,41.0,41.0,7138.0,7223.0,0.0,3.0,30.0,8.0
"Bell County, Kentucky",21,013,7.0,31.0,381.0,374.0,25920.0,27188.0,0.0,32.0,41.0,783.0
"Breathitt County, Kentucky",21,025,0.0,50.0,89.0,89.0,12779.0,13116.0,0.0,28.0,24.0,146.0
"Graves County, Kentucky",21,083,121.0,608.0,1016.0,895.0,33724.0,37294.0,101.0,168.0,44.0,1633.0
"Hart County, Kentucky",21,099,0.0,12.0,259.0,259.0,17386.0,18627.0,0.0,92.0,102.0,776.0
"Wayne County, Kentucky",21,231,0.0,196.0,342.0,342.0,19533.0,20609.0,0.0,67.0,0.0,471.0
"Marion County, Kentucky",21,155,25.0,166.0,286.0,261.0,17218.0,19232.0,68.0,45.0,26.0,1423.0
"Trigg County, Kentucky",21,221,0.0,0.0,80.0,80.0,12960.0,14344.0,0.0,51.0,0.0,1253.0
"Boone County, Kentucky",21,015,21.0,1717.0,3194.0,3173.0,117202.0,129095.0,0.0,2911.0,130.0,3941.0
"Leslie County, Kentucky",21,131,0.0,72.0,121.0,121.0,10229.0,10472.0,0.0,44.0,0.0,6.0
"Knox County, Kentucky",21,121,0.0,9.0,237.0,237.0,30444.0,31467.0,0.0,124.0,261.0,392.0
"Lawrence County, Kentucky",21,127,18.0,15.0,220.0,202.0,15389.0,15783.0,0.0,67.0,5.0,87.0
"Livingston County, Kentucky",21,139,4.0,4.0,150.0,146.0,9020.0,9263.0,1.0,13.0,11.0,64.0
"Pike County, Kentucky",21,195,69.0,104.0,443.0,374.0,58969.0,60483.0,0.0,322.0,105.0,540.0
"Shelby County, Kentucky",21,211,79.0,951.0,1446.0,1367.0,40987.0,46786.0,37.0,416.0,0.0,2949.0
"Anderson County, Kentucky",21,005,21.0,59.0,341.0,320.0,21159.0,22214.0,18.0,71.0,0.0,566.0
"Breckinridge County, Kentucky",21,027,0.0,96.0,344.0,344.0,19164.0,20080.0,0.0,71.0,36.0,369.0
"Franklin County, Kentucky",21,073,227.0,997.0,1972.0,1745.0,41527.0,50296.0,20.0,920.0,81.0,4779.0
"Kenton County, Kentucky",21,117,151.0,2570.0,4077.0,3926.0,148317.0,164688.0,29.0,2034.0,239.0,7422.0
"Madison County, Kentucky",21,151,207.0,584.0,2089.0,1882.0,81957.0,89700.0,7.0,898.0,330.0,3835.0
"Magoffin County, Kentucky",21,153,0.0,0.0,0.0,0.0,12657.0,12666.0,0.0,0.0,4.0,5.0
"Owsley County, Kentucky",21,189,0.0,8.0,4.0,4.0,4382.0,4463.0,0.0,3.0,4.0,62.0
"Simpson County, Kentucky",21,213,117.0,245.0,316.0,199.0,15469.0,18063.0,0.0,143.0,109.0,1781.0
"Taylor County, Kentucky",21,217,18.0,85.0,943.0,925.0,23200.0,25500.0,0.0,273.0,0.0,999.0
"Todd County, Kentucky",21,219,0.0,293.0,219.0,219.0,10848.0,12350.0,0.0,0.0,4.0,986.0
"Carlisle County, Kentucky",21,039,0.0,24.0,40.0,40.0,4615.0,4841.0,0.0,27.0,70.0,65.0
"Clinton County, Kentucky",21,053,61.0,83.0,95.0,34.0,9971.0,10211.0,0.0,19.0,0.0,43.0
"Gallatin County, Kentucky",21,077,15.0,244.0,161.0,146.0,8134.0,8703.0,0.0,6.0,0.0,158.0
"Garrard County, Kentucky",21,079,18.0,45.0,341.0,323.0,16656.0,17328.0,0.0,24.0,70.0,192.0
"Fleming County, Kentucky",21,069,44.0,118.0,161.0,117.0,13930.0,14479.0,0.0,26.0,9.0,235.0
"Campbell County, Kentucky",21,037,33.0,500.0,1263.0,1230.0,86527.0,92267.0,20.0,938.0,68.0,2951.0
"Vermilion Parish, Louisiana",22,113,22.0,210.0,554.0,532.0,48733.0,59867.0,0.0,1264.0,265.0,8841.0
"St. Charles Parish, Louisiana",22,089,124.0,677.0,546.0,422.0,36775.0,52724.0,0.0,558.0,201.0,13967.0
"Concordia Parish, Louisiana",22,029,0.0,110.0,25.0,25.0,11579.0,20021.0,26.0,36.0,15.0,8230.0
"Tensas Parish, Louisiana",22,107,0.0,9.0,17.0,17.0,2093.0,4666.0,0.0,4.0,0.0,2543.0
"St. James Parish, Louisiana",22,093,133.0,123.0,195.0,62.0,10345.0,21357.0,26.0,24.0,22.0,10622.0
"Grant Parish, Louisiana",22,043,259.0,434.0,511.0,252.0,17551.0,22348.0,0.0,46.0,73.0,3733.0
"Jefferson Parish, Louisiana",22,051,1685.0,15996.0,9424.0,7739.0,273395.0,435300.0,39.0,18131.0,1694.0,116621.0
"Bienville Parish, Louisiana",22,013,2.0,153.0,157.0,155.0,7449.0,13668.0,0.0,19.0,6.0,5884.0
"Bossier Parish, Louisiana",22,015,483.0,1239.0,2826.0,2343.0,90948.0,126131.0,246.0,2100.0,641.0,28131.0
"Cameron Parish, Louisiana",22,023,21.0,88.0,21.0,0.0,6408.0,6868.0,0.0,27.0,34.0,290.0
"East Feliciana Parish, Louisiana",22,037,4.0,66.0,139.0,135.0,10562.0,19499.0,0.0,51.0,93.0,8588.0
"St. John the Baptist Parish, Louisiana",22,095,298.0,595.0,990.0,692.0,17206.0,43446.0,0.0,463.0,0.0,24192.0
"Plaquemines Parish, Louisiana",22,075,35.0,610.0,940.0,905.0,15871.0,23373.0,8.0,850.0,308.0,4786.0
"Ouachita Parish, Louisiana",22,073,317.0,635.0,1750.0,1433.0,93224.0,156075.0,45.0,1643.0,271.0,58507.0
"Rapides Parish, Louisiana",22,079,244.0,642.0,2602.0,2358.0,83774.0,131546.0,16.0,1801.0,865.0,41846.0
"Washington Parish, Louisiana",22,117,16.0,322.0,800.0,784.0,31134.0,46457.0,6.0,69.0,139.0,13987.0
"St. Landry Parish, Louisiana",22,097,74.0,485.0,1386.0,1312.0,46910.0,83449.0,0.0,210.0,138.0,34320.0
"Tangipahoa Parish, Louisiana",22,105,155.0,459.0,2525.0,2370.0,87582.0,130504.0,12.0,985.0,348.0,38593.0
"Acadia Parish, Louisiana",22,001,47.0,544.0,1342.0,1295.0,49471.0,62568.0,10.0,42.0,20.0,11139.0
"St. Mary Parish, Louisiana",22,101,86.0,995.0,2002.0,1916.0,31169.0,51734.0,11.0,753.0,646.0,16158.0
"West Carroll Parish, Louisiana",22,123,0.0,231.0,108.0,108.0,8992.0,11180.0,10.0,0.0,39.0,1800.0
"St. Tammany Parish, Louisiana",22,103,662.0,2562.0,4984.0,4322.0,209123.0,252093.0,94.0,4093.0,1434.0,29803.0
"Union Parish, Louisiana",22,111,43.0,418.0,365.0,322.0,16026.0,22475.0,39.0,19.0,14.0,5594.0
"Caldwell Parish, Louisiana",22,021,0.0,19.0,33.0,33.0,8211.0,9996.0,0.0,12.0,50.0,1671.0
"Lafayette Parish, Louisiana",22,055,312.0,1507.0,4299.0,3987.0,167347.0,240091.0,0.0,4392.0,407.0,62139.0
"Caddo Parish, Louisiana",22,017,857.0,2445.0,5022.0,4165.0,115209.0,248361.0,81.0,3110.0,1050.0,121444.0
"East Carroll Parish, Louisiana",22,035,3.0,8.0,61.0,58.0,2105.0,7225.0,0.0,0.0,0.0,5051.0
"Ascension Parish, Louisiana",22,005,89.0,1506.0,3498.0,3409.0,88396.0,121176.0,40.0,1281.0,57.0,26398.0
"Iberia Parish, Louisiana",22,045,36.0,1207.0,1999.0,1963.0,44409.0,72691.0,0.0,1952.0,71.0,23053.0
"St. Bernard Parish, Louisiana",22,087,192.0,862.0,1264.0,1072.0,31838.0,45694.0,37.0,1076.0,172.0,10445.0
"St. Helena Parish, Louisiana",22,091,0.0,35.0,16.0,16.0,4583.0,10411.0,0.0,43.0,108.0,5626.0
"West Baton Rouge Parish, Louisiana",22,121,0.0,188.0,270.0,270.0,15008.0,25860.0,0.0,41.0,33.0,10320.0
"De Soto Parish, Louisiana",22,031,125.0,171.0,586.0,461.0,16367.0,27216.0,16.0,46.0,302.0,9728.0
"Red River Parish, Louisiana",22,081,41.0,70.0,232.0,191.0,4938.0,8618.0,12.0,2.0,0.0,3364.0
"Livingston Parish, Louisiana",22,063,24.0,846.0,2221.0,2197.0,125734.0,138111.0,17.0,637.0,333.0,8323.0
"Natchitoches Parish, Louisiana",22,069,53.0,885.0,724.0,671.0,20896.0,38963.0,0.0,268.0,415.0,15775.0
"Orleans Parish, Louisiana",22,071,741.0,5297.0,7115.0,6374.0,132423.0,389648.0,98.0,11294.0,632.0,232789.0
"Catahoula Parish, Louisiana",22,025,8.0,68.0,22.0,14.0,6564.0,9893.0,0.0,10.0,19.0,3210.0
"Calcasieu Parish, Louisiana",22,019,282.0,1747.0,4542.0,4260.0,140575.0,200182.0,6.0,2741.0,687.0,49884.0
"Franklin Parish, Louisiana",22,041,46.0,9.0,245.0,199.0,13322.0,20322.0,5.0,18.0,10.0,6713.0
"Assumption Parish, Louisiana",22,007,56.0,92.0,254.0,198.0,15439.0,22714.0,0.0,39.0,83.0,6807.0
"Jackson Parish, Louisiana",22,049,8.0,106.0,49.0,41.0,10901.0,15926.0,0.0,87.0,12.0,4771.0
"Richland Parish, Louisiana",22,083,49.0,110.0,273.0,224.0,12652.0,20474.0,0.0,153.0,0.0,7286.0
"St. Martin Parish, Louisiana",22,099,33.0,573.0,1066.0,1033.0,35555.0,53752.0,0.0,534.0,287.0,15737.0
"Winn Parish, Louisiana",22,127,0.0,95.0,172.0,172.0,9618.0,14494.0,0.0,0.0,26.0,4583.0
"East Baton Rouge Parish, Louisiana",22,033,263.0,6564.0,8338.0,8075.0,210236.0,444094.0,117.0,13946.0,857.0,204036.0
"Allen Parish, Louisiana",22,003,113.0,420.0,753.0,640.0,18903.0,25661.0,0.0,167.0,540.0,4878.0
"Madison Parish, Louisiana",22,065,0.0,57.0,32.0,32.0,4074.0,11472.0,0.0,0.0,8.0,7301.0
"Oxford County, Maine",23,017,17.0,96.0,1332.0,1315.0,55192.0,57325.0,4.0,273.0,172.0,256.0
"Waldo County, Maine",23,027,10.0,88.0,683.0,673.0,38039.0,39418.0,0.0,195.0,182.0,231.0
"Penobscot County, Maine",23,019,136.0,341.0,2871.0,2735.0,143791.0,151748.0,63.0,1581.0,1731.0,1370.0
"Androscoggin County, Maine",23,001,301.0,224.0,5562.0,5261.0,98333.0,107444.0,4.0,812.0,249.0,2260.0
"Aroostook County, Maine",23,003,66.0,124.0,1063.0,997.0,64865.0,68269.0,10.0,293.0,1249.0,665.0
"Cumberland County, Maine",23,005,350.0,1033.0,7211.0,6861.0,267511.0,290944.0,16.0,6145.0,547.0,8481.0
"Knox County, Maine",23,013,41.0,16.0,838.0,797.0,38386.0,39823.0,0.0,215.0,136.0,232.0
"York County, Maine",23,031,39.0,341.0,3087.0,3048.0,194369.0,203102.0,31.0,2606.0,845.0,1823.0
"Franklin County, Maine",23,007,63.0,62.0,616.0,553.0,28993.0,30019.0,31.0,114.0,119.0,84.0
"Somerset County, Maine",23,025,32.0,26.0,988.0,956.0,49017.0,50710.0,0.0,155.0,224.0,300.0
"Worcester County, Maryland",24,047,19.0,142.0,1042.0,1023.0,42778.0,51564.0,54.0,685.0,109.0,6754.0
"Baltimore city, Maryland",24,510,1424.0,10607.0,15325.0,13901.0,187152.0,614700.0,215.0,15898.0,1585.0,383918.0
"Talbot County, Maryland",24,041,127.0,367.0,1319.0,1192.0,30828.0,37211.0,20.0,514.0,53.0,4110.0
"Harford County, Maryland",24,025,710.0,3620.0,7910.0,7200.0,198188.0,251025.0,30.0,6750.0,447.0,34080.0
"Howard County, Maryland",24,027,1215.0,3913.0,13036.0,11821.0,182836.0,315327.0,58.0,55913.0,715.0,58856.0
"Anne Arundel County, Maryland",24,003,1652.0,13315.0,21990.0,20338.0,416185.0,567696.0,369.0,21314.0,997.0,93526.0
"Baltimore County, Maryland",24,005,2370.0,9565.0,22912.0,20542.0,508001.0,827625.0,749.0,49327.0,2262.0,234809.0
"Calvert County, Maryland",24,009,151.0,598.0,3940.0,3789.0,73931.0,91082.0,38.0,1723.0,122.0,10730.0
"Garrett County, Maryland",24,023,43.0,38.0,493.0,450.0,28445.0,29376.0,8.0,114.0,50.0,228.0
"Montgomery County, Maryland",24,031,8865.0,89343.0,44681.0,35816.0,559927.0,1040133.0,502.0,152812.0,3068.0,189800.0
"Carroll County, Maryland",24,013,285.0,1344.0,3314.0,3029.0,153788.0,167522.0,85.0,2998.0,362.0,5631.0
"Queen Anne's County, Maryland",24,035,41.0,514.0,804.0,763.0,44131.0,49355.0,55.0,462.0,43.0,3346.0
"St. Mary's County, Maryland",24,037,69.0,804.0,3785.0,3716.0,87631.0,111531.0,13.0,3071.0,146.0,16081.0
"Charles County, Maryland",24,017,486.0,1150.0,8981.0,8495.0,71681.0,157671.0,64.0,4899.0,849.0,70047.0
"Dorchester County, Maryland",24,019,72.0,595.0,1296.0,1224.0,21159.0,32261.0,0.0,335.0,31.0,8845.0
"Washington County, Maryland",24,043,382.0,1441.0,5521.0,5139.0,123859.0,149811.0,132.0,2697.0,358.0,15803.0
"Wicomico County, Maryland",24,045,185.0,1063.0,2614.0,2429.0,68527.0,102172.0,37.0,3264.0,173.0,26494.0
"Cecil County, Maryland",24,015,82.0,976.0,2541.0,2459.0,90454.0,102517.0,32.0,1480.0,165.0,6869.0
"Caroline County, Maryland",24,011,23.0,708.0,775.0,752.0,26432.0,32875.0,10.0,218.0,132.0,4600.0
"Suffolk County, Massachusetts",25,025,5607.0,54071.0,50467.0,44860.0,437431.0,791766.0,257.0,69435.0,2357.0,177748.0
"Barnstable County, Massachusetts",25,001,799.0,2116.0,4260.0,3461.0,196442.0,213690.0,166.0,3228.0,1137.0,6341.0
"Dukes County, Massachusetts",25,007,41.0,318.0,805.0,764.0,15319.0,17313.0,0.0,64.0,127.0,680.0
"Middlesex County, Massachusetts",25,017,6062.0,42335.0,45881.0,39819.0,1233271.0,1595192.0,603.0,186123.0,2958.0,84021.0
"Berkshire County, Massachusetts",25,003,255.0,2267.0,3096.0,2841.0,115566.0,127328.0,56.0,2177.0,425.0,3741.0
"Essex County, Massachusetts",25,009,3559.0,72694.0,22535.0,18976.0,625582.0,781024.0,115.0,26897.0,1884.0,31317.0
"Bristol County, Massachusetts",25,005,4491.0,33851.0,16603.0,12112.0,472579.0,558905.0,203.0,12603.0,426.0,22640.0
"Hampden County, Massachusetts",25,013,2413.0,21501.0,13086.0,10673.0,380944.0,469116.0,87.0,11052.0,1280.0,41166.0
"Plymouth County, Massachusetts",25,023,2828.0,17359.0,12005.0,9177.0,427155.0,512135.0,227.0,6541.0,680.0,48168.0
"Franklin County, Massachusetts",25,011,212.0,768.0,1600.0,1388.0,66044.0,70935.0,65.0,1165.0,219.0,1074.0
"Norfolk County, Massachusetts",25,021,2188.0,10544.0,16346.0,14158.0,547590.0,698249.0,248.0,75060.0,880.0,47581.0
"Hampshire County, Massachusetts",25,015,568.0,1450.0,4663.0,4095.0,141795.0,161159.0,63.0,8428.0,272.0,4488.0
"Nantucket County, Massachusetts",25,019,139.0,62.0,392.0,253.0,9722.0,11101.0,7.0,107.0,35.0,776.0
"Monroe County, Michigan",26,115,94.0,762.0,2735.0,2641.0,141260.0,149699.0,10.0,930.0,449.0,3553.0
"Allegan County, Michigan",26,005,400.0,1833.0,2401.0,2001.0,107953.0,115250.0,23.0,781.0,558.0,1701.0
"Hillsdale County, Michigan",26,059,27.0,160.0,657.0,630.0,44312.0,45830.0,0.0,173.0,179.0,349.0
"Alger County, Michigan",26,003,25.0,13.0,348.0,323.0,7807.0,9194.0,0.0,14.0,320.0,692.0
"Oceana County, Michigan",26,127,82.0,383.0,403.0,321.0,24991.0,26417.0,1.0,64.0,288.0,287.0
"Leelanau County, Michigan",26,089,20.0,152.0,521.0,501.0,20075.0,21639.0,3.0,146.0,649.0,93.0
"Clare County, Michigan",26,035,61.0,83.0,596.0,535.0,29477.0,30616.0,0.0,111.0,163.0,186.0
"Keweenaw County, Michigan",26,083,0.0,0.0,19.0,19.0,2076.0,2130.0,0.0,2.0,0.0,33.0
"Isabella County, Michigan",26,073,126.0,513.0,2686.0,2560.0,62114.0,70775.0,8.0,1191.0,2395.0,1868.0
"Ottawa County, Michigan",26,139,1485.0,9741.0,7684.0,6199.0,253873.0,284034.0,57.0,7574.0,868.0,4237.0
"Tuscola County, Michigan",26,157,104.0,110.0,863.0,759.0,51297.0,53250.0,4.0,181.0,166.0,629.0
"Alpena County, Michigan",26,007,35.0,31.0,399.0,364.0,27720.0,28612.0,20.0,141.0,152.0,149.0
"Ionia County, Michigan",26,067,230.0,344.0,1374.0,1144.0,59051.0,64176.0,6.0,257.0,204.0,2940.0
"Midland County, Michigan",26,111,297.0,391.0,1575.0,1278.0,77905.0,83389.0,63.0,1907.0,380.0,1168.0
"Berrien County, Michigan",26,021,474.0,1809.0,4729.0,4255.0,121688.0,154807.0,38.0,3095.0,619.0,22829.0
"Oscoda County, Michigan",26,135,0.0,18.0,128.0,128.0,8018.0,8277.0,4.0,4.0,52.0,53.0
"Crawford County, Michigan",26,039,8.0,75.0,193.0,185.0,13291.0,13836.0,0.0,123.0,70.0,84.0
"Clinton County, Michigan",26,037,138.0,193.0,1874.0,1736.0,73107.0,77896.0,0.0,1224.0,138.0,1360.0
"Gratiot County, Michigan",26,057,184.0,126.0,885.0,701.0,37353.0,41067.0,23.0,156.0,211.0,2313.0
"Huron County, Michigan",26,063,52.0,104.0,406.0,354.0,30648.0,31543.0,0.0,184.0,77.0,124.0
"Lenawee County, Michigan",26,091,361.0,1003.0,2627.0,2266.0,91413.0,98474.0,15.0,284.0,492.0,2640.0
"Mason County, Michigan",26,105,208.0,120.0,631.0,423.0,27449.0,28884.0,0.0,186.0,221.0,277.0
"Montcalm County, Michigan",26,117,226.0,314.0,1161.0,935.0,59734.0,63209.0,41.0,253.0,316.0,1390.0
"St. Joseph County, Michigan",26,149,72.0,1617.0,1929.0,1857.0,55466.0,60897.0,30.0,304.0,213.0,1338.0
"St. Clair County, Michigan",26,147,369.0,937.0,4625.0,4256.0,149216.0,159566.0,38.0,1082.0,275.0,3393.0
"Washtenaw County, Michigan",26,161,699.0,2635.0,15894.0,15195.0,269777.0,365961.0,189.0,33165.0,1202.0,43099.0
"Arenac County, Michigan",26,011,18.0,20.0,214.0,196.0,14597.0,15165.0,0.0,55.0,190.0,89.0
"Cass County, Michigan",26,027,100.0,549.0,1667.0,1567.0,45663.0,51460.0,21.0,434.0,577.0,2549.0
"Iron County, Michigan",26,071,34.0,7.0,131.0,97.0,10776.0,11212.0,0.0,65.0,176.0,57.0
"Roscommon County, Michigan",26,143,12.0,28.0,445.0,433.0,23074.0,23877.0,0.0,75.0,219.0,36.0
"Wayne County, Michigan",26,163,4271.0,33543.0,41918.0,37647.0,937396.0,1761382.0,481.0,57380.0,5566.0,685098.0
"Branch County, Michigan",26,023,88.0,484.0,707.0,619.0,40923.0,43584.0,17.0,283.0,180.0,990.0
"Jackson County, Michigan",26,075,221.0,946.0,4341.0,4120.0,138852.0,158913.0,41.0,1352.0,694.0,12687.0
"Mackinac County, Michigan",26,097,21.0,12.0,528.0,507.0,8063.0,10817.0,14.0,78.0,1822.0,300.0
"Antrim County, Michigan",26,009,7.0,200.0,386.0,379.0,22256.0,23177.0,0.0,73.0,176.0,86.0
"Houghton County, Michigan",26,061,61.0,191.0,860.0,799.0,33819.0,36360.0,29.0,1082.0,104.0,275.0
"Iosco County, Michigan",26,069,25.0,50.0,457.0,432.0,24185.0,25247.0,10.0,173.0,200.0,172.0
"Lake County, Michigan",26,085,24.0,26.0,423.0,399.0,10220.0,11763.0,11.0,27.0,117.0,939.0
"Montmorency County, Michigan",26,119,16.0,15.0,166.0,150.0,8958.0,9261.0,1.0,7.0,82.0,32.0
"Presque Isle County, Michigan",26,141,17.0,50.0,221.0,204.0,12353.0,12797.0,0.0,60.0,42.0,71.0
"Kalamazoo County, Michigan",26,077,838.0,1510.0,12196.0,11358.0,212284.0,261573.0,69.0,6385.0,689.0,28440.0
"Mecosta County, Michigan",26,107,34.0,129.0,1075.0,1041.0,40305.0,43264.0,7.0,332.0,166.0,1250.0
"Marquette County, Michigan",26,103,146.0,102.0,2036.0,1890.0,62426.0,66939.0,33.0,654.0,558.0,1130.0
"Newaygo County, Michigan",26,123,58.0,1391.0,830.0,772.0,44687.0,48142.0,0.0,160.0,417.0,657.0
"Osceola County, Michigan",26,133,27.0,25.0,339.0,312.0,22347.0,23232.0,0.0,70.0,195.0,256.0
"Otsego County, Michigan",26,137,32.0,22.0,702.0,670.0,23330.0,24397.0,0.0,106.0,104.0,133.0
"Calhoun County, Michigan",26,025,514.0,646.0,5441.0,4927.0,110011.0,134473.0,20.0,3095.0,939.0,14321.0
"Cheboygan County, Michigan",26,031,22.0,22.0,943.0,921.0,23741.0,25458.0,0.0,101.0,431.0,220.0
"Luce County, Michigan",26,095,30.0,29.0,404.0,374.0,5066.0,6364.0,2.0,17.0,361.0,485.0
"Kent County, Michigan",26,081,2980.0,21205.0,24424.0,21444.0,513126.0,643140.0,222.0,19311.0,2649.0,62203.0
"Macomb County, Michigan",26,099,1583.0,5005.0,19919.0,18336.0,707875.0,868704.0,346.0,33769.0,2525.0,99265.0
"Bay County, Michigan",26,017,74.0,367.0,2346.0,2272.0,99253.0,104786.0,0.0,631.0,410.0,1779.0
"Saginaw County, Michigan",26,145,857.0,3221.0,6142.0,5285.0,144402.0,192778.0,12.0,2451.0,577.0,35973.0
"Shiawassee County, Michigan",26,155,84.0,159.0,1357.0,1273.0,66193.0,68493.0,18.0,196.0,174.0,396.0
"Baraga County, Michigan",26,013,13.0,36.0,545.0,532.0,6246.0,8507.0,2.0,42.0,775.0,861.0
"Charlevoix County, Michigan",26,029,78.0,83.0,531.0,453.0,24945.0,26219.0,22.0,110.0,388.0,140.0
"Eaton County, Michigan",26,045,245.0,1548.0,2980.0,2735.0,94291.0,109155.0,43.0,2535.0,533.0,7225.0
"Delta County, Michigan",26,041,99.0,48.0,1231.0,1132.0,33957.0,36190.0,7.0,153.0,688.0,106.0
"Gogebic County, Michigan",26,053,48.0,29.0,251.0,203.0,13942.0,15414.0,23.0,54.0,414.0,701.0
"Emmet County, Michigan",26,047,29.0,112.0,1047.0,1018.0,30478.0,33039.0,30.0,185.0,958.0,229.0
"Woodruff County, Arkansas",05,147,0.0,0.0,85.0,85.0,4633.0,6660.0,6.0,91.0,0.0,1845.0
"Cleburne County, Arkansas",05,023,6.0,42.0,150.0,144.0,24473.0,25230.0,0.0,152.0,273.0,140.0
"Cleveland County, Arkansas",05,025,6.0,0.0,180.0,174.0,7106.0,8226.0,0.0,3.0,13.0,924.0
"Jackson County, Arkansas",05,067,10.0,98.0,1437.0,1427.0,13516.0,17225.0,7.0,7.0,17.0,2143.0
